id,schema,name,country,topics,birthDate,nationality,position,registrationNumber,address,sanctions,datasets,sourceUrl
usgsa-9a8ce92c6364c8ba8a09879f10db579b2812a9c2,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a8cf7da00a4068fad4d5aca7dbca5055ae9d481,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a8d00e82c0d0cdd5eb1aa2b0a20bbe9be24bf9a,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a8d23d0395576b3d3ac310a6f53fa1a287b90fd,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a8ef204e889d06cfc6e566e05f663406a731327,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a8f92eb8f701bd2abc75b9f9a0d61fe3a6c4630,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a8f9611cf4ed5d8bba6d3b37e0fc70c84635a5b,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a8fd4d2433e84f55fb4a1820938b882fdd6a0ed,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a9010d49efd61dec946d6c641973483c9b57837,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a9061627b1fe3e16f0d4c8da4d83ed300aa17b4,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a90b567c1f47086768e0be30e9537aa72e9b9b7,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a918e0c5f1116e618d8b5b96e8744fe09d5414c,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a91e08dfeb57b571c1ac2ce715ec02d556beb14,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a923558731230cf52171943ab4d683a3033f4a5,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a92638e23010b51e9060a8501393344703d7f8a,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a9269aa3c8174a7f8288e8f474b99982c89aae5,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a92fedfee0b2a63956212c133cc0aa2862bcfac,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a933555c0766b333a6f2543a8e639a362098057,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a942d79d48adb77086bed19f5a1c48772d32c4b,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a94463c3d27fb817dde4b317d90caed12ac991c,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a94948e57f39d2dbaf1168ef180fc52342c41f9,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a94af4e2e6a058e6f5b37cd1a10e2fb28f8a9eb,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a96099cc3582e9d1368c1f21730953aa5832b7d,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a96a4af0d0932b1b94e9994e8795addc183c498,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a971a9958bfbf1b14325ac65808c598704d5698,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a9757ddb90012ac96044b6d61a26c9e49e05ed2,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a97bdd2ffaa5914e73c12420c236c3c82c01384,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a983c2412a4df8a1cfb8ada49785bdebc463e46,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
